MWCO-SHAP,CA-SHAP,Size-SHAP,logKow-SHAP,Init_conc-SHAP,Pres-SHAP,IS-SHAP,charge_product-SHAP,
0.5607632,0.08400127,-1.8479844,0.31234676,3.407979,0.06481053,1.9014028,0.8139767,
-1.7271178,-1.6910747,-0.125678,1.1165353,0.8401876,-0.8533835,0.6622342,0.78674996,
1.2632729,0.6325321,-1.0686369,0.57294524,-0.5925914,0.21852508,1.4369681,0.52106154,
-0.7842983,-0.0248091,-1.0225401,1.1439453,0.1273571,-0.4722116,1.5821397,4.1511045,
0.5594783,0.0083228,-1.4158689,1.3649501,1.3294424,-0.0157788,1.6650095,1.1866881,
1.3575225,0.7173689,-0.177252,0.7923431,0.4955617,0.3149822,1.4685221,1.0291698,
-0.9922656,-0.0780454,0.16279726,1.3113436,0.78547186,-0.3938105,1.5890954,3.7411053,
0.712911,-0.0150928,-0.5034778,1.1019905,1.9125011,-0.104971,1.6543638,1.0874546,
-2.5931566,-2.3778694,-0.2360435,0.97553766,-1.1214411,-1.0531775,-0.1697777,-3.454083,
1.3040812,0.784675,-0.0394593,0.5268439,0.33303842,0.36504403,1.6254019,0.8870981,
-0.7927465,0.21641369,-0.0035937,1.0321108,0.56618035,-0.3022187,1.6993312,3.655237,
0.694792,0.2919752,0.26426688,0.7382032,1.8405006,-0.332209,1.7935597,1.7745109,
-4.0388002,-3.3231716,-3.4997838,-6.7551107,-3.7191632,-0.7766429,0.19742945,-4.5027556,
1.4480208,0.6865993,0.16008875,0.80882293,0.3128441,0.37845463,1.5551424,0.75515985,
-0.8851223,-0.0708412,0.39638206,0.8551663,0.1330788,-0.3785108,1.5979403,3.26843,
0.45909315,-0.0372365,0.38563925,1.7450099,1.1792499,-0.1398448,1.7214065,1.9172021,
-2.6067302,-1.829717,-3.1721303,0.3881561,-5.504466,-1.172208,0.18909164,-0.9496377,
1.7440066,0.936858,0.57122767,1.0541878,-0.4230208,0.4189224,1.545988,0.37741455,
-0.9041918,-0.131904,0.52360946,0.8593882,-1.0953408,-0.7683571,1.4980004,3.2650023,
0.37583256,-0.0057749,0.85158575,1.8976326,-0.3815912,-0.5601602,1.7378727,1.7276051,
-2.2458417,-1.8639508,0.31418023,2.5105884,2.5163062,0.12612411,1.5632702,2.0783966,
-0.1777943,0.12276573,0.66011274,1.9542146,1.247302,-1.0183014,1.3142903,1.5478969,
